name,type,start_time,duration,"data"
"Async Serial [1]","data",15.125202788,0.000082464,0xAA
"Async Serial [1]","data",15.125289536,0.000082464,0xAA
"Async Serial [1]","data",15.125376284,0.000082464,0x07
"Async Serial [1]","data",15.125463036,0.000082464,0x01
"Async Serial [1]","data",15.125549784,0.000082464,0x01
"Async Serial [1]","data",15.125636536,0.000082464,0x59
"Async Serial [1]","data",15.125723284,0.000082464,0x9B
"Async Serial","data",15.13898154,0.000082464,0xAA
"Async Serial","data",15.139068304,0.000082464,0xAA
"Async Serial","data",15.139155016,0.000082464,0x08
"Async Serial","data",15.139241724,0.000082464,0x01
"Async Serial","data",15.13932842,0.000082464,0x01
"Async Serial","data",15.139415084,0.000082464,0x01
"Async Serial","data",15.139501752,0.000082464,0x94
"Async Serial","data",15.139588476,0.000082464,0x13
"Async Serial","data",15.144370088,0.000082464,0xAA
"Async Serial","data",15.144456764,0.000082464,0xAA
"Async Serial","data",15.14454346,0.000082464,0x12
"Async Serial","data",15.144630152,0.000082464,0x02
"Async Serial","data",15.144716832,0.000082464,0x01
"Async Serial","data",15.144803532,0.000082464,0x00
"Async Serial","data",15.144890292,0.000082464,0x00
"Async Serial","data",15.144977016,0.000082464,0x01
"Async Serial","data",15.145063756,0.000082464,0x08
"Async Serial","data",15.145150516,0.000082464,0xE8
"Async Serial","data",15.145237216,0.000082464,0x02
"Async Serial","data",15.145323972,0.000082464,0x3E
"Async Serial","data",15.145410688,0.000082464,0x08
"Async Serial","data",15.145497388,0.000082464,0x5E
"Async Serial","data",15.1455841,0.000082464,0x02
"Async Serial","data",15.145670876,0.000082464,0x1B
"Async Serial","data",15.14575764,0.000082464,0x5C
"Async Serial","data",15.14584442,0.000082464,0x1A
"Async Serial [1]","data",15.365479636,0.000082464,0xAA
"Async Serial [1]","data",15.365566388,0.000082464,0xAA
"Async Serial [1]","data",15.365653136,0.000082464,0x07
"Async Serial [1]","data",15.365739888,0.000082464,0x01
"Async Serial [1]","data",15.365826636,0.000082464,0x02
"Async Serial [1]","data",15.365913384,0.000082464,0x69
"Async Serial [1]","data",15.366000136,0.000082464,0xF8
"Async Serial [1]","data",15.375157636,0.000082464,0xAA
"Async Serial [1]","data",15.375244384,0.000082464,0xAA
"Async Serial [1]","data",15.375331132,0.000082464,0x09
"Async Serial [1]","data",15.375417884,0.000082464,0x13
"Async Serial [1]","data",15.375504632,0.000082464,0x01
"Async Serial [1]","data",15.375591384,0.000082464,0x05
"Async Serial [1]","data",15.375678132,0.000082464,0x7E
"Async Serial [1]","data",15.37576488,0.000082464,0xDF
"Async Serial [1]","data",15.375851632,0.000082464,0x3E
"Async Serial","data",15.3796882,0.000082464,0xAA
"Async Serial","data",15.379774908,0.000082464,0xAA
"Async Serial","data",15.379861616,0.000082464,0x08
"Async Serial","data",15.379948288,0.000082464,0x01
"Async Serial","data",15.380034956,0.000082464,0x02
"Async Serial","data",15.380121608,0.000082464,0x01
"Async Serial","data",15.380208284,0.000082464,0xC1
"Async Serial","data",15.38029492,0.000082464,0x40
"Async Serial","data",15.38507608,0.000082464,0xAA
"Async Serial","data",15.385162852,0.000082464,0xAA
"Async Serial [1]","data",15.385238144,0.000082464,0xAA
"Async Serial","data",15.38524956,0.000082464,0x12
"Async Serial [1]","data",15.385324892,0.000082464,0xAA
"Async Serial","data",15.38533628,0.000082464,0x02
"Async Serial [1]","data",15.38541164,0.000082464,0x0B
"Async Serial","data",15.385423008,0.000082464,0x02
"Async Serial [1]","data",15.385498392,0.000082464,0x03
"Async Serial","data",15.385509772,0.000082464,0x00
"Async Serial [1]","data",15.38558514,0.000082464,0x01
"Async Serial","data",15.385596532,0.000082464,0x00
"Async Serial [1]","data",15.385671888,0.000082464,0x00
"Async Serial","data",15.38568322,0.000082464,0x01
"Async Serial [1]","data",15.38575864,0.000082464,0x05
"Async Serial","data",15.385769964,0.000082464,0x08
"Async Serial [1]","data",15.385845388,0.000082464,0x00
"Async Serial","data",15.385856684,0.000082464,0xE7
"Async Serial [1]","data",15.38593214,0.000082464,0x05
"Async Serial","data",15.385943412,0.000082464,0x02
"Async Serial [1]","data",15.386018888,0.000082464,0x6C
"Async Serial","data",15.386030148,0.000082464,0x3E
"Async Serial [1]","data",15.386105636,0.000082464,0xFA
"Async Serial","data",15.386116824,0.000082464,0x08
"Async Serial","data",15.38620354,0.000082464,0x5F
"Async Serial","data",15.38629028,0.000082464,0x02
"Async Serial","data",15.386377036,0.000082464,0x1C
"Async Serial","data",15.386463816,0.000082464,0x94
"Async Serial","data",15.38655058,0.000082464,0xBB
"Async Serial","data",15.399749688,0.000082464,0xAA
"Async Serial","data",15.39983638,0.000082464,0xAA
"Async Serial","data",15.399923072,0.000082464,0x08
"Async Serial","data",15.40000978,0.000082464,0x13
"Async Serial","data",15.40009646,0.000082464,0x01
"Async Serial","data",15.400183116,0.000082464,0x01
"Async Serial","data",15.400269816,0.000082464,0xB9
"Async Serial","data",15.40035652,0.000082464,0x10
"Async Serial","data",15.400443228,0.000082464,0xAA
"Async Serial","data",15.400529912,0.000082464,0xAA
"Async Serial","data",15.400616588,0.000082464,0x09
"Async Serial","data",15.400703292,0.000082464,0x14
"Async Serial","data",15.400789968,0.000082464,0x01
